Variable,Coefficient,Std Error,z,P>|z|,[0.025,0.975]
Intercept,0.5989640746217911,1.446400327023345,0.41410670575168074,0.6787959620250125,-2.2359284735709215,3.4338566228145035
C(udn)[T.2],0.012481980475002888,0.6109539328235011,0.020430313652811557,0.9837001020953083,-1.1849657240721627,1.2099296850221686
C(udn)[T.3],-21.286497500755083,18335.875024579043,-0.001160920734473853,0.9990737194777112,-35958.941170703154,35916.368175701646
C(udn)[T.4],0.1773822916885636,0.5789321556925815,0.3063956457494741,0.7593034232374831,-0.9573038829610313,1.3120684663381585
C(udn)[T.5],0.628090268314093,0.5655935331318129,1.1104976127223771,0.26678465625862957,-0.4804526865130221,1.736633223141208
C(udn)[T.6],-1.495210857572518,0.9341068208618627,-1.6006850867365976,0.10944668589128216,-3.326026584174977,0.3356048690299409
C(udn)[T.7],1.008417385486475,0.5827630154452162,1.7304073161129994,0.08355752762933344,-0.13377713630810795,2.150611907281058
C(udn)[T.8],0.46047810647307835,0.6509911393035318,0.7073492689404722,0.47934945488370806,-0.8154410808165413,1.736397293762698
C(udn)[T.9],0.3429133876426028,0.5836546302334326,0.5875279144199621,0.5568492084870272,-0.8010286670249677,1.4868554423101732
year_index,-1.1977715746370417e-11,1.0317861045730846e-08,-0.0011608719765930902,0.9990737583808452,-2.023461376286761e-08,2.0210658331374868e-08
sin_doy,-1.4842917171673373,1.16264069102023,-1.2766555726385724,0.2017238728363958,-3.7630255985277494,0.7944421641930748
cos_doy,-1.1103538546164764,1.0194713818534984,-1.0891466640267478,0.27608921469447667,-3.108481046318614,0.8877733370856613
mars_score,-0.0022817409468286172,0.005455813343665827,-0.4182219594220003,0.6757848418353041,-0.012974938606786685,0.008411456713129453
saturn_score,-0.0004914196787998647,0.005438504316942799,-0.09035934333432899,0.928001663800299,-0.011150692269773358,0.010167852912173628
sun_score,0.006124799203817207,0.005232420413188457,1.170547991208712,0.24178051302822945,-0.004130556358004357,0.016380154765638772
moon_score,0.010106386955271206,0.005329322044992982,1.8963738482958419,0.0579106274355773,-0.0003388923149303877,0.0205516662254728
